arm,scenario,block,chunk,compute_multiplier,local_rtt_ms,local_bandwidth_gbps,inter_pod_rtt_ms,inter_pod_bandwidth_gbps,jitter_fraction,predicted_target_pass_ms,predicted_tok_s_per_user,passes_5_tok_s,predicted,corrected_replay_status,prediction_use,compute_degradation_percent
uncertainty_envelope,optimistic,7,1,0.9,0.05,100.0,1.0,25.0,0.0,320.08384880000614,24.993451028510147,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,7,1,1.0,0.25,25.0,5.0,10.0,0.0,757.5777670400056,10.55997198975025,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,7,1,1.3,1.0,10.0,10.0,2.0,0.2,2289.9150081857542,3.493579443517518,False,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,7,2,0.9,0.05,100.0,1.0,25.0,0.0,291.64687223999834,27.43043303895521,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,7,2,1.0,0.25,25.0,5.0,10.0,0.0,657.8248526399937,12.161291820906836,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,7,2,1.3,1.0,10.0,10.0,2.0,0.2,1908.0487666679223,4.1927649543101655,False,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,7,4,0.9,0.05,100.0,1.0,25.0,0.0,325.9679691200026,24.54228868436721,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,7,4,1.0,0.25,25.0,5.0,10.0,0.0,676.7935238399998,11.820444076665357,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,7,4,1.3,1.0,10.0,10.0,2.0,0.2,1831.6758893008368,4.367584924128501,False,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,12,1,0.9,0.05,100.0,1.0,25.0,0.0,404.4335560000098,32.14372251544747,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,12,1,1.0,0.25,25.0,5.0,10.0,0.0,953.5449958400103,13.633336713751884,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,12,1,1.3,1.0,10.0,10.0,2.0,0.2,2895.092645484068,4.4903571636224315,False,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,12,2,0.9,0.05,100.0,1.0,25.0,0.0,349.6482059999993,37.18022794602877,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,12,2,1.0,0.25,25.0,5.0,10.0,0.0,784.8765902399954,16.563113439305063,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
