inventory_id,family,planner,feasible,critical_path_ms,compute_work_ms,network_bytes_per_token,serial_waits,messages
coarse-friendly-01,coarse-friendly,whole,True,4302.077244600049,4562.760925000033,3244032.0,1407,471
coarse-friendly-01,coarse-friendly,adaptive,True,4302.077244600049,4562.760925000033,3244032.0,1407,471
coarse-friendly-02,coarse-friendly,whole,True,3835.0094425000398,4509.6073625000345,3272704.0,1412,476
coarse-friendly-02,coarse-friendly,adaptive,True,3835.0094425000398,4509.6073625000345,3272704.0,1412,476
coarse-friendly-03,coarse-friendly,whole,True,3801.686056600041,4455.5152625000355,3272704.0,1412,476
coarse-friendly-03,coarse-friendly,adaptive,True,3801.686056600041,4455.5152625000355,3272704.0,1412,476
memory-fragmented-01,memory-fragmented,whole,True,4320.513659453384,5015.080154166705,3272704.0,1412,476
memory-fragmented-01,memory-fragmented,adaptive,True,4320.513659453384,5015.080154166705,3272704.0,1412,476
memory-fragmented-02,memory-fragmented,whole,False,,,,,
memory-fragmented-02,memory-fragmented,adaptive,True,6799.174815846747,16063.637362499789,17029888.0,12032,4396
memory-fragmented-03,memory-fragmented,whole,True,4246.760318573382,4959.6175208333725,3272704.0,1412,476
memory-fragmented-03,memory-fragmented,adaptive,True,4246.760318573382,4959.6175208333725,3272704.0,1412,476
memory-fragmented-04,memory-fragmented,whole,False,,,,,
memory-fragmented-04,memory-fragmented,adaptive,True,6610.039394340096,15587.588479166518,13377792.0,10497,3761
memory-fragmented-05,memory-fragmented,whole,True,4239.347050873386,5077.93210000004,3272704.0,1412,476
memory-fragmented-05,memory-fragmented,adaptive,True,4239.347050873386,5077.93210000004,3272704.0,1412,476
memory-fragmented-06,memory-fragmented,whole,False,,,,,
memory-fragmented-06,memory-fragmented,adaptive,True,6873.365657506766,15277.253320833084,15822080.0,11522,4186
compute-heterogeneous-01,compute-heterogeneous,whole,True,5412.154628546703,6872.527391666695,3244032.0,1407,471
compute-heterogeneous-01,compute-heterogeneous,adaptive,True,5412.154628546703,6872.527391666695,3244032.0,1407,471
compute-heterogeneous-02,compute-heterogeneous,whole,True,5229.212624353375,6657.041745833362,3244032.0,1407,471
compute-heterogeneous-02,compute-heterogeneous,adaptive,True,5229.212624353375,6657.041745833362,3244032.0,1407,471
compute-heterogeneous-03,compute-heterogeneous,whole,True,5341.905714366695,6745.634620833363,3272704.0,1412,476
compute-heterogeneous-03,compute-heterogeneous,adaptive,True,5341.905714366695,6745.634620833363,3272704.0,1412,476
compute-heterogeneous-04,compute-heterogeneous,whole,True,5489.346174613364,6832.767016666695,3272704.0,1412,476
compute-heterogeneous-04,compute-heterogeneous,adaptive,True,5489.346174613364,6832.767016666695,3272704.0,1412,476
compute-heterogeneous-05,compute-heterogeneous,whole,True,5251.798017293374,6676.729975000028,3244032.0,1407,471
compute-heterogeneous-05,compute-heterogeneous,adaptive,True,5251.798017293374,6676.729975000028,3244032.0,1407,471
compute-heterogeneous-06,compute-heterogeneous,whole,True,5214.363539860043,6623.485308333362,3244032.0,1407,471
compute-heterogeneous-06,compute-heterogeneous,adaptive,True,5214.363539860043,6623.485308333362,3244032.0,1407,471
network-heterogeneous-01,network-heterogeneous,whole,True,5039.039711260032,4488.49377500003,3272704.0,1412,476
network-heterogeneous-01,network-heterogeneous,adaptive,True,5039.039711260032,4488.49377500003,3272704.0,1412,476
network-heterogeneous-02,network-heterogeneous,whole,True,5210.351237940038,4550.278112500034,3272704.0,1412,476
network-heterogeneous-02,network-heterogeneous,adaptive,True,5210.351237940038,4550.278112500034,3272704.0,1412,476
network-heterogeneous-03,network-heterogeneous,whole,True,4779.780661500042,4394.806812500035,3272704.0,1412,476
network-heterogeneous-03,network-heterogeneous,adaptive,True,4779.780661500042,4394.806812500035,3272704.0,1412,476
network-heterogeneous-04,network-heterogeneous,whole,True,4473.87288334004,4394.255862500034,3272704.0,1412,476
network-heterogeneous-04,network-heterogeneous,adaptive,True,4473.87288334004,4394.255862500034,3272704.0,1412,476
network-heterogeneous-05,network-heterogeneous,whole,True,4486.139383540043,4470.246887500031,3272704.0,1412,476
network-heterogeneous-05,network-heterogeneous,adaptive,True,4486.139383540043,4470.246887500031,3272704.0,1412,476
network-heterogeneous-06,network-heterogeneous,whole,True,4155.935979420051,4584.717487500035,3272704.0,1412,476
network-heterogeneous-06,network-heterogeneous,adaptive,True,4155.935979420051,4584.717487500035,3272704.0,1412,476
full-mixed-01,full-mixed,whole,True,5304.098432686695,6464.0357541667,3272704.0,1412,476
full-mixed-01,full-mixed,adaptive,True,5304.098432686695,6464.0357541667,3272704.0,1412,476
full-mixed-02,full-mixed,whole,True,5048.708214186694,6725.670333333366,3272704.0,1412,476
full-mixed-02,full-mixed,adaptive,True,5048.708214186694,6725.670333333366,3272704.0,1412,476
full-mixed-03,full-mixed,whole,True,5149.977652660025,6715.780095833364,3272704.0,1412,476
full-mixed-03,full-mixed,adaptive,True,5149.977652660025,6715.780095833364,3272704.0,1412,476
full-mixed-04,full-mixed,whole,False,,,,,
full-mixed-04,full-mixed,adaptive,True,8444.136629326698,10147.674066666552,8692608.0,5252,1871
full-mixed-05,full-mixed,whole,False,,,,,
full-mixed-05,full-mixed,adaptive,True,6798.621457620032,8878.969579166664,6703488.0,4347,1526
full-mixed-06,full-mixed,whole,False,,,,,
full-mixed-06,full-mixed,adaptive,True,6879.327293520043,8889.58075416669,6703488.0,4347,1526
